"margin","BO_Diff","CCL_Diff","CG_Diff","CL_Diff","CM_Diff","CP_Diff","D_Diff","DE_Diff","FA_Diff","FF_Diff","GA_Diff","HB_Diff","I50_Diff","ITC_Diff","K_Diff","M_Diff","MG_Diff","OP_Diff","R50_Diff","SCL_Diff","SI_Diff","TO_Diff","UP_Diff","T5_Diff"
25,3,-3,3,-2,1,2,54,0.0999999999999943,-4,4,5,8,-3,1,46,53,561,-13,12,1,18,-1,61,-12
56,1,1,-1,-1,-5,17,66,-1.40000000000001,2,-2,7,51,18,11,15,3,746,21,-10,0,92,-10,58,8
19,2,-3,-1,3,1,-6,-35,4.59999999999999,4,-4,-3,-40,1,0,5,-13,683,-9,7,6,-9,-1,-47,3
23,6,-5,-15,1,5,16,60,3.89999999999999,-14,13,1,13,4,6,47,33,213,7,-1,6,37,-7,49,-11
102,8,6,8,13,-2,36,13,5.8,7,-7,13,-16,23,7,29,-20,1850,-10,-6,7,101,-4,-14,0
19,3,0,-14,-1,12,2,61,3.40000000000001,-15,15,8,44,0,-7,17,36,199,-1,-2,-1,-14,7,70,3
1,2,6,7,3,-6,-9,-2,2.8,5,-5,0,20,3,-3,-22,-19,2,17,-5,-3,5,3,3,0
22,-3,-1,-6,3,3,7,64,4.2,-7,7,1,36,-2,2,28,16,446,6,9,4,9,-2,56,11
89,6,-1,1,-3,6,34,40,-1.3,-3,3,10,6,25,16,34,13,1023,8,-11,-2,49,-16,16,15
11,1,-5,16,-4,-2,25,29,2.5,5,-6,1,1,7,4,28,-17,186,-4,-3,1,-17,-2,-9,6
29,0,-1,4,6,6,13,-6,1,0,0,7,44,-11,-15,-50,-31,-141,-6,8,7,-4,11,-19,0
16,0,3,4,1,-1,-5,-16,1.8,0,0,-3,-19,-2,-2,3,11,95,-1,5,-4,0,0,-11,6
31,3,-2,-5,1,12,21,4,3.30000000000001,3,-3,-4,-35,13,15,39,17,893,6,-3,3,59,-16,-5,5
15,1,4,-16,9,3,4,2,3.90000000000001,-7,7,0,-31,22,4,33,26,225,6,-18,5,19,0,-1,8
86,10,14,-3,25,-1,62,155,3,-5,5,8,89,28,6,66,9,1504,3,-8,11,84,-7,94,10
26,-2,-2,-12,-9,4,-4,35,4.8,-7,7,1,7,13,13,28,26,149,10,-8,-7,22,-15,45,0
31,6,6,3,19,-1,23,112,5.89999999999999,1,-1,3,70,12,-6,42,7,755,-9,-2,13,56,7,81,-5
65,-1,-5,-16,0,7,15,-44,2.59999999999999,-3,2,7,-21,16,6,-23,-34,1054,0,-7,5,-7,-4,-58,4
90,8,4,-7,6,2,10,84,4.2,1,-1,10,61,33,11,23,6,1827,19,-13,2,76,-11,74,13
32,5,-8,-10,1,4,27,59,1.5,-6,6,2,46,18,17,13,6,769,5,-8,9,53,-17,42,1
5,2,6,-4,7,6,22,21,-4.8,0,1,2,4,4,-2,17,-6,47,-4,1,1,38,4,-6,-1
50,3,-1,-6,-2,-5,22,97,2.2,-6,6,6,38,7,13,59,19,524,24,1,-1,29,-11,67,-4
13,0,-2,1,8,0,-8,-58,-4.2,-2,2,0,-57,-4,2,-1,-2,-191,-7,8,10,18,-2,-73,-9
18,1,0,-3,4,-2,-6,6,-1.3,0,0,5,0,-22,-5,6,1,-134,8,28,4,17,6,3,-4
2,-1,1,11,2,8,-4,9,-1.59999999999999,8,-8,5,-6,-13,-5,15,23,188,-14,14,1,-34,3,17,-10
19,-6,7,-3,-1,4,-1,29,2.40000000000001,-5,5,4,-28,4,1,57,42,-253,2,-4,-8,-11,-1,28,-5
13,1,-4,8,-5,7,7,-11,-5.19999999999999,0,0,-5,-10,6,6,-1,6,501,-2,-1,-1,2,-6,-11,7
41,1,-1,-7,4,7,21,89,-0.100000000000009,-7,7,6,22,1,8,67,53,734,6,2,5,38,-8,73,2
76,-5,3,-6,8,11,26,127,4.90000000000001,-6,6,5,54,10,9,73,67,1227,-17,4,5,104,-7,110,-10
23,6,3,-15,11,4,12,-2,-4.59999999999999,-12,12,3,-24,11,2,22,10,849,-9,-3,8,-1,-2,-23,7
59,1,12,-11,13,-5,-7,-1,4.69999999999999,-7,7,8,-24,23,2,23,8,1054,-2,-12,1,27,-1,2,18
25,2,4,-8,4,5,12,67,4.3,-4,3,2,30,23,4,37,26,781,2,-17,0,55,-3,61,5
5,1,3,-6,8,-12,3,77,-3,-12,12,-2,65,15,2,12,-3,-32,13,-16,5,34,-1,74,2
54,12,1,5,-1,7,1,50,2.5,3,-3,8,38,6,11,12,5,1147,-13,5,-2,54,-11,45,1
37,5,8,-12,13,4,20,85,2,-9,9,0,27,15,-4,58,42,881,-21,-6,5,47,5,65,-9
8,-10,-3,2,-4,7,-7,7,4,3,-3,-2,-28,-3,6,35,48,122,-2,6,-1,10,-9,25,-7
38,2,3,-6,5,3,17,77,6.90000000000001,-4,4,8,20,13,-1,57,50,730,23,-7,2,40,1,67,-7
19,2,2,12,4,-10,20,69,0.299999999999997,-1,1,3,89,22,8,-20,-24,674,9,-14,2,54,-7,65,10
3,5,3,-9,0,-3,6,17,-3.2,-1,1,0,14,6,7,3,-14,91,-17,-3,-3,12,-7,11,2
17,3,-8,-7,-17,-6,-20,53,4.40000000000001,-11,11,9,16,-11,4,37,25,313,-4,14,-9,-4,-2,59,4
23,-1,6,10,7,7,4,-8,2.5,4,-4,1,-12,6,0,4,12,378,-13,-2,1,-11,-2,-11,9
3,7,3,-7,12,-14,-11,-19,4.2,1,-1,-1,5,-16,-11,-24,-20,59,6,19,9,-11,10,4,1
18,0,4,3,5,2,7,51,0.600000000000009,-4,4,4,33,4,5,18,20,650,-4,4,1,27,-5,52,1
61,3,8,1,6,1,31,119,0,-3,3,6,26,1,-1,93,64,969,11,11,-2,39,2,85,4
35,-1,7,-2,8,1,12,1,-3,-3,3,3,30,9,-4,-29,-31,253,7,-3,1,17,4,-15,11
2,1,-2,-17,-8,0,-2,72,10.1,-9,9,1,56,14,5,16,19,-8,1,-13,-6,22,-7,74,17
40,7,1,-13,-7,-5,2,-1,0.200000000000003,-4,4,6,28,9,9,-29,-33,251,6,-1,-8,49,-9,5,-10
35,1,3,-7,2,-7,16,71,-0.799999999999997,0,0,4,17,31,8,54,24,907,19,-26,-1,48,-7,65,10
15,8,4,-20,-5,-5,-8,-47,-0.699999999999989,-3,3,1,-78,29,12,31,10,260,-4,-25,-9,15,-12,-43,19
100,6,3,-4,5,6,38,102,7.7,0,0,7,45,32,20,57,41,1876,11,-11,2,105,-20,82,10
45,8,1,-2,6,0,21,134,0.699999999999989,2,-2,4,57,39,11,77,45,1042,5,-27,5,106,-10,118,6
51,-2,5,-12,8,11,38,75,-1.2,-4,5,6,42,38,13,33,8,864,-15,-29,3,45,-12,32,21
22,-2,1,2,-2,2,34,108,5.3,-1,1,0,69,1,12,39,32,590,-5,5,-3,62,-12,88,0
3,8,-8,13,-8,4,19,66,4.2,1,-1,-1,34,-1,8,32,20,234,5,4,0,33,-8,55,-8
16,1,-4,-1,6,-5,11,18,6.40000000000001,-1,1,2,-12,9,-6,30,14,413,-9,-5,10,15,6,3,4
46,0,9,-6,8,10,16,43,3.3,-9,9,3,-22,31,2,65,41,1146,1,-19,-1,69,-3,24,12
57,13,-1,-8,2,-4,5,5,-1.19999999999999,-12,12,1,-14,16,-3,19,14,808,3,-6,3,16,3,7,6
57,1,7,-13,18,1,28,122,3.90000000000001,-13,13,8,52,22,0,70,41,1111,4,-9,11,91,0,92,12
70,22,1,1,0,2,11,86,4.5,3,-3,1,51,16,4,35,14,1433,-11,-2,-1,81,-4,66,-3
1,-9,-4,3,-18,-2,9,-29,-3.09999999999999,-5,5,1,-47,-14,1,18,12,-27,6,11,-14,-14,-1,-37,-14
4,-8,5,-8,0,-12,6,-28,0.699999999999989,-4,4,-2,-2,-4,4,-26,-50,500,10,9,-5,-30,-4,-36,-3
13,3,-9,-17,-5,-10,2,2,-1.80000000000001,-3,3,-1,-30,16,7,32,5,449,-3,-6,4,4,-7,-5,8
40,6,9,2,9,12,17,3,0.599999999999994,1,0,7,-4,23,-1,7,-14,894,2,-13,0,26,2,-28,9
1,0,-1,2,6,10,14,31,0.700000000000003,0,0,-1,-5,-1,5,36,17,43,-22,-1,7,3,-5,16,-1
1,4,6,-12,5,-3,15,70,0.900000000000006,-12,12,1,17,-1,4,53,19,-202,15,1,-1,45,-4,54,-13
2,-8,-3,-1,3,8,17,16,5.09999999999999,-4,4,-3,22,10,7,-6,10,-59,-14,-12,6,24,-5,14,23
26,4,4,7,-10,-3,6,40,2.89999999999999,-2,2,4,41,21,9,-1,-7,662,-5,-15,-14,93,-11,45,7
31,-10,1,-17,-2,-3,1,-28,-4.59999999999999,-4,4,1,-14,4,11,-14,-28,282,-8,-3,-3,27,-11,-32,2
19,9,8,15,25,1,12,71,1,-7,7,3,24,4,-16,47,22,-52,0,0,17,-15,17,49,1
24,-2,4,-9,5,-4,12,48,3.09999999999999,-5,5,1,26,-2,1,22,16,219,15,9,1,0,-1,43,7
59,5,-3,-5,-21,16,-6,30,8.5,5,-5,9,-8,-3,7,38,67,831,20,14,-18,20,-8,53,2
67,-3,-4,4,5,11,23,42,3.5,1,-1,4,41,9,8,1,-7,1184,-7,4,9,71,-7,32,0
67,7,-1,5,5,8,14,110,9.69999999999999,-3,3,8,64,19,3,46,16,1300,5,-2,6,32,-2,85,4
3,-6,-2,-2,-10,3,-8,-39,-1.5,-4,4,0,-32,-9,3,-7,-6,-329,-2,8,-8,9,-2,-35,-1
70,5,11,11,19,4,36,77,1.3,6,-6,9,11,16,-7,66,38,1287,5,-3,8,60,6,45,2
31,12,16,13,15,-3,30,67,-3.3,5,-5,5,53,28,-2,14,-13,649,-7,-24,-1,26,0,45,12
21,-4,4,6,20,-4,9,18,-0.800000000000011,1,-1,-2,-33,6,-3,51,28,784,24,5,16,28,1,0,2
27,-5,10,5,23,-8,27,-3,0.399999999999991,0,0,4,31,-4,-7,-34,-60,43,2,8,13,22,8,-20,-5
23,-1,4,0,12,-1,29,77,5,-8,8,-2,46,17,-6,31,15,1081,-17,-11,8,6,6,30,2
54,13,0,-18,-1,7,23,69,1.3,-11,11,9,27,22,8,42,25,899,-3,-12,-1,65,-7,44,6
42,-1,4,6,7,11,10,-42,-0.400000000000006,7,-7,4,-35,28,3,-7,-3,917,27,-20,3,53,-2,-53,-2
19,6,-1,-9,0,-4,-23,-65,-5.60000000000001,8,-8,1,-42,10,1,-23,-21,153,7,-7,1,-16,-1,-49,9
8,4,2,-4,8,-5,25,28,1.2,-10,10,-4,34,11,4,-6,-39,344,-6,-10,6,33,-4,9,-4
30,4,-5,-15,2,-5,-18,89,8.7,-7,7,6,57,-1,3,32,58,111,0,7,7,33,-4,114,-4
6,0,-2,4,-1,16,10,41,3.2,0,0,1,-7,5,2,48,46,-565,-2,-13,1,6,-3,27,6
4,-8,-3,-11,1,1,4,-27,-4.5,-7,7,5,-14,-11,1,-13,-8,-274,0,9,4,7,2,-26,-16
12,8,-1,16,13,-3,27,14,-9.59999999999999,2,-2,0,15,6,4,-1,-31,15,2,-4,14,29,-4,-6,-1
2,-4,5,27,-8,3,-2,-20,-8.90000000000001,9,-9,-1,-52,6,0,32,21,-205,-7,-5,-13,-20,0,-24,-4
30,1,6,-15,14,-5,13,-23,-1.59999999999999,-5,5,2,-48,3,-6,25,-2,271,-14,-6,8,-25,3,-41,-2
68,15,-4,11,12,-3,17,-29,-7.60000000000001,5,-5,6,-49,15,-1,20,9,944,13,-4,16,44,3,-31,1
35,1,7,0,17,-13,-14,-28,1.8,-4,4,3,-45,-2,7,17,-18,510,23,12,10,38,-7,-17,-5
8,-1,-7,-13,-14,-2,-1,14,4.60000000000001,-3,3,-1,53,2,10,-39,-24,15,-9,-3,-7,35,-11,19,7
23,2,1,-10,5,3,-37,-18,10,1,-2,-1,-34,-1,7,16,32,592,0,5,4,48,-8,14,5
8,6,10,-10,12,11,34,87,3.40000000000001,-9,9,0,39,16,6,48,23,456,-24,-14,2,3,-6,50,27
29,2,2,-5,-4,-7,10,33,-0.0999999999999943,2,-2,6,7,1,4,26,-3,438,18,8,-6,67,-4,14,0
84,0,10,-15,20,13,46,100,0.700000000000003,-7,7,7,14,50,14,86,42,1615,1,-24,10,72,-14,66,18
104,5,7,-6,-3,7,11,115,9.3,-7,7,12,57,8,12,58,50,1388,-1,13,-10,86,-12,103,7
14,6,0,-9,-6,0,18,18,6.7,-11,11,2,19,3,10,-1,-7,191,-6,-3,-6,32,-10,1,-4
58,-4,4,-4,4,1,0,46,7,0,0,11,22,-1,-1,24,19,538,9,14,0,53,1,42,-19
17,-3,6,0,2,3,14,-28,-8.60000000000001,4,-4,-2,-1,-9,6,-27,-21,-219,0,10,-4,-44,-7,-37,-2
24,1,1,-17,-4,-2,8,30,-3.5,0,0,5,21,7,5,9,15,353,11,-5,-5,33,-7,29,-4
27,0,-14,-10,-7,2,-13,39,1.39999999999999,6,-6,9,18,-2,10,21,28,528,13,6,7,34,-11,48,-2
27,-5,4,-5,-4,-7,-7,35,1.3,-2,2,5,36,8,0,-1,-6,249,33,-3,-8,41,0,33,0
21,9,-5,-3,-8,3,8,65,7.3,7,-7,5,43,11,13,22,3,778,5,-5,-3,61,-11,51,-4
7,-9,-4,-5,-13,-5,2,5,-1.39999999999999,-4,3,0,-27,-12,2,32,19,-31,10,13,-9,11,-4,-5,0
13,8,-5,8,1,-9,11,7,-2.59999999999999,-2,2,3,23,6,-7,-16,-18,282,-10,-7,6,-6,8,-2,6
49,5,4,-11,19,-9,-6,56,7.59999999999999,0,0,6,34,17,8,22,12,368,-2,-9,15,53,-8,76,14
9,-10,10,-13,23,-1,1,56,6.10000000000001,-5,5,-1,7,-10,-11,49,25,81,0,10,13,25,9,47,-3
16,3,-3,-11,2,3,4,-24,-3.3,-4,4,-5,-44,-8,7,20,19,51,-10,9,5,0,-9,-38,-2
81,-1,1,-16,13,6,8,29,5.40000000000001,-6,7,10,31,14,4,-2,-3,942,9,-3,12,49,-4,15,9
15,7,2,-10,9,0,20,90,-1,-13,13,6,27,19,4,63,44,695,-18,-12,7,20,-3,67,2
41,2,-3,-10,-10,-1,-14,-3,2.7,-2,2,5,-32,6,8,29,35,454,-5,-2,-7,29,-8,5,-1
44,9,1,-9,-6,11,24,28,3,3,-3,2,10,-2,5,18,19,343,-8,2,-7,33,-6,1,-7
115,-7,3,-9,1,8,42,59,-0.300000000000011,-1,1,13,5,48,23,54,20,1540,9,-28,-2,110,-22,29,21
29,-2,-3,-3,-17,15,10,-23,-1.10000000000001,-11,11,0,-52,-3,9,29,21,664,10,5,-14,16,-8,-39,-10
36,-6,-4,-7,0,1,-1,-14,0.399999999999991,-5,5,3,-37,0,2,23,14,489,3,6,4,32,-2,-18,-22
65,-6,7,-3,4,18,4,-2,5.5,6,-6,8,-31,22,6,29,33,994,-12,-11,-3,28,-7,-5,8
59,2,2,-5,-3,7,25,119,8.90000000000001,-2,2,6,27,12,13,92,76,654,-6,-4,-5,62,-13,110,-5
67,10,0,16,10,3,13,44,1.8,6,-6,11,40,12,4,4,-10,557,12,-2,10,67,0,29,1
36,-2,2,-14,-3,-1,-9,-59,-0.700000000000003,1,-1,4,-51,-3,4,-8,-24,-2,20,0,-5,11,-4,-51,-1
61,-2,-3,4,6,-7,2,33,7.59999999999999,6,-6,5,-42,3,-1,75,54,794,-1,7,9,31,0,36,-4
26,5,4,-1,-1,1,1,-36,2.09999999999999,-2,2,8,-36,24,13,0,-20,454,-10,-18,-5,56,-13,-33,5
12,4,-4,0,-8,5,14,4,-0.799999999999997,-7,7,3,-6,7,4,10,9,213,-8,-4,-4,7,-3,4,3
25,8,-5,-8,-17,-4,-6,47,6.3,4,-4,6,20,10,9,27,48,775,9,-2,-12,27,-7,68,-5
50,4,2,-1,10,-5,14,81,0.799999999999997,-6,6,5,19,13,6,62,17,867,35,-5,8,92,-6,66,1
16,-3,4,8,19,-1,20,57,6.8,2,-2,2,-21,20,-8,78,38,448,-11,-14,15,7,5,28,10
34,4,-3,11,-7,-4,1,39,1.39999999999999,10,-10,3,19,2,-1,20,16,297,31,4,-4,35,0,33,-9
82,10,2,3,-6,0,20,90,10.9,8,-8,11,40,18,10,50,51,1228,2,-4,-8,68,-10,78,-5
36,1,1,-8,1,4,48,140,5.89999999999999,-14,14,6,62,15,2,78,54,866,-11,-8,0,49,-2,102,-5
52,-13,-2,-10,2,4,31,-8,0.199999999999989,-7,7,6,-38,25,11,30,13,742,-10,-18,4,34,-11,-39,1
16,-7,-6,2,2,4,9,40,6.2,-1,1,2,-9,11,4,49,34,400,12,-10,8,22,-4,36,5
5,4,2,7,-8,-6,-6,52,-0.200000000000003,7,-7,1,20,12,3,32,24,187,12,-8,-10,35,-5,58,0
37,-13,10,-5,1,-4,35,85,3.8,-2,2,5,30,21,5,55,20,909,-4,-14,-9,66,-5,54,4
16,2,-5,-2,-14,0,-1,2,2.8,-8,8,1,-7,-4,-3,9,7,-49,-4,5,-9,-14,2,-2,-3
13,-8,0,-11,-9,-1,-9,28,-0.5,8,-8,-2,32,4,5,-4,11,555,-2,1,-9,19,-7,35,-1
21,5,-9,-17,3,0,-2,94,4.2,2,-2,0,26,12,10,68,72,267,3,-8,12,47,-10,101,1
15,3,3,-6,1,-8,-4,-41,1.2,-7,8,-2,-44,5,-3,3,-10,73,-3,-3,-2,-2,3,-35,5
31,3,-7,1,-12,9,33,63,-0.900000000000006,-6,6,4,24,-3,13,39,26,632,3,5,-5,54,-12,28,14
93,12,-3,-8,-3,3,12,11,3.69999999999999,-1,1,13,20,14,14,-9,-14,1461,9,0,0,93,-14,2,7
86,-1,-6,-9,-1,7,30,87,6,0,0,8,41,14,5,46,19,1726,-7,-2,5,51,-5,52,-1
80,0,1,-22,-1,10,8,72,8.5,-9,9,8,25,11,18,47,38,1096,-4,3,-2,79,-20,61,-2
22,6,-3,-5,4,-3,2,22,3.39999999999999,6,-6,6,-21,10,-1,43,27,288,-13,-6,7,8,1,25,9
67,3,4,-6,17,1,-14,11,6.60000000000001,-3,3,0,-16,1,-11,27,8,820,-12,7,13,-3,10,12,12
47,0,-1,-9,-13,3,-7,-22,5.2,-2,2,7,-25,18,7,3,19,445,3,-13,-12,20,-7,-17,-1
54,1,2,12,5,-1,6,40,9.5,10,-10,9,31,17,0,9,2,1107,7,-4,3,62,-1,39,1
28,-1,1,-9,12,10,12,15,-1.2,-7,7,1,-3,-4,4,18,2,563,3,11,11,39,-3,-12,7
49,-7,6,-11,-9,3,24,-6,2,-7,7,1,13,17,13,-19,-37,724,-1,-8,-15,63,-12,-28,-2
21,7,7,-12,0,-1,-8,56,7.8,-3,3,3,58,4,8,-2,12,731,-5,6,-7,9,-8,63,13
34,1,-1,3,7,0,1,67,3.5,3,-3,1,35,3,-2,32,24,568,-11,3,8,35,1,71,0
35,-3,-1,-6,4,-4,-1,58,6.90000000000001,-4,4,6,21,14,-4,37,17,323,5,-13,5,27,4,58,4
48,3,-1,-7,-12,10,30,108,4.5,-15,15,1,52,14,15,56,31,936,-6,-6,-11,56,-15,67,-8
61,2,-3,-15,0,10,15,84,9.7,-3,3,7,24,18,6,60,67,1063,-3,-11,3,35,-5,80,2
9,11,3,12,21,4,11,35,0.700000000000003,9,-9,2,19,2,-4,16,15,302,21,0,18,13,4,29,-1
42,4,2,-17,14,5,40,-5,-8.3,-17,17,4,-48,7,6,43,-2,519,-20,0,12,35,-8,-51,10
55,0,-3,-15,-1,-1,22,54,8.7,-8,7,7,58,17,10,-4,-12,1361,-13,-6,2,54,-11,55,11
77,11,-6,-4,-22,-4,-20,57,6.40000000000001,5,-5,11,15,22,21,42,33,1775,-3,-1,-16,109,-18,65,2
13,-6,5,-18,9,-4,-2,-15,3.90000000000001,-10,10,3,-33,-4,-12,18,18,-467,-2,-1,4,-32,10,0,8
5,-4,0,-9,7,-7,20,75,-0.900000000000006,-10,10,0,63,-1,5,12,-1,68,23,4,7,33,-5,55,5
14,5,-2,-8,8,-8,21,103,-2.5,-6,6,1,100,17,7,3,-12,359,-1,-14,10,23,-8,79,7
30,2,3,1,10,5,19,31,1.09999999999999,7,-7,6,5,11,-1,26,20,296,12,-3,7,33,1,15,-8
37,-1,3,-12,18,2,20,-68,-0.600000000000001,-7,7,4,-90,-4,-6,22,11,597,-19,11,15,-22,4,-64,4
43,2,3,-17,15,-1,9,11,0.5,-10,10,6,-13,-1,-1,24,19,355,-25,6,12,-3,1,6,5
34,8,-5,-11,4,0,11,52,-1.2,-4,4,2,-14,6,11,66,34,447,-22,1,9,20,-11,27,11
59,1,-1,-9,-6,5,8,72,1,0,0,4,20,10,10,52,35,1253,6,2,-5,26,-12,49,8
56,-2,0,-8,-2,11,-7,-3,6.2,4,-4,8,-18,-1,8,15,21,1018,8,15,-2,34,-10,7,-1
47,-3,0,-9,-2,3,3,55,5.59999999999999,-11,11,4,-3,-13,0,58,47,516,-3,18,-2,43,0,41,-10
35,2,-2,-2,6,6,31,95,1.3,2,-3,8,69,7,5,26,-2,846,-13,0,8,33,-5,59,5
28,7,-1,-17,0,8,3,-75,-10.4,5,-5,0,-53,15,10,-22,-19,489,6,-10,1,30,-10,-80,9
28,-2,-1,3,4,5,11,9,-6.30000000000001,2,-2,4,5,-4,-1,4,16,418,-14,9,5,2,0,6,2
91,-3,10,-5,11,9,46,123,7.5,-9,9,11,79,24,2,44,35,1501,7,-10,1,95,-2,83,8
30,0,-3,-14,-5,1,-5,43,8.60000000000001,5,-5,1,47,21,8,-4,4,1113,-10,-12,-2,37,-11,45,12
3,-3,-7,-21,-13,1,-4,36,7.30000000000001,-8,8,-2,2,21,12,34,47,244,-2,-20,-6,42,-11,52,1
13,-6,-6,-20,-7,6,-2,-62,-1.40000000000001,-13,13,0,-84,-4,5,22,27,59,-2,6,-1,-4,-5,-70,0
54,5,5,5,4,-1,-1,42,3.5,10,-10,5,59,5,2,-17,-17,769,-17,0,-1,9,-2,41,2
61,4,-3,-1,4,0,24,63,0.700000000000003,-6,6,6,26,27,5,37,6,1231,14,-16,7,64,-5,33,11
14,-4,10,-5,14,9,34,67,1.09999999999999,-2,2,1,28,19,0,39,22,375,10,-14,4,31,1,47,5
37,-5,-5,9,-9,4,6,78,3.60000000000001,14,-14,6,36,0,11,42,60,656,8,12,-4,46,-11,75,2
108,10,5,4,18,0,51,176,7.19999999999999,-3,3,10,87,28,9,89,31,2015,21,-7,13,106,-9,132,14
3,-7,2,15,1,3,1,67,2.5,1,-1,0,42,0,-2,25,25,114,10,1,-1,5,0,68,-1
57,-3,3,0,17,2,19,81,8.69999999999999,3,-3,9,41,27,-5,40,22,975,18,-15,14,64,4,75,9
15,-2,-5,-3,-12,4,12,77,3.8,0,0,5,65,-11,4,12,12,876,-5,23,-7,-7,-5,61,9
56,4,4,-3,22,0,22,66,4.09999999999999,-1,1,7,65,26,-3,1,-26,810,21,-13,18,67,3,49,3
10,4,-3,-21,-16,1,-19,-21,0.200000000000003,-6,6,2,-36,-29,-4,15,31,-249,32,31,-13,16,4,6,-4
53,7,-4,-9,-5,5,3,66,4.80000000000001,4,-4,6,26,15,7,40,47,963,4,-9,-1,55,-9,69,3
20,3,-4,-8,4,2,13,51,1.59999999999999,-11,11,3,39,16,10,12,-16,517,3,-12,8,23,-9,34,0
26,0,3,-5,-8,4,-9,38,3.39999999999999,5,-5,5,-7,18,14,45,43,235,6,-15,-11,58,-15,52,4
2,-2,-6,2,-5,-3,15,-12,-5.2,-3,3,-4,-1,5,1,-11,-13,6,17,-6,1,-41,-1,-26,6
10,0,4,6,10,8,29,30,-2.60000000000001,2,-2,-3,31,32,2,-1,-10,643,-12,-26,6,33,-3,3,-5
